,index,carid,lat,lon,state,time
0,18082281,4768,30.575236999999998,104.054035,1,2014-08-03 21:34:50.000000
1,18082282,4768,30.575238,104.054417,1,2014-08-03 21:35:02.000000
2,18082283,4768,30.575253999999997,104.054803,1,2014-08-03 21:35:07.000000
3,18082284,4768,30.575271,104.055165,1,2014-08-03 21:35:11.000000
4,18082285,4768,30.575281,104.05554000000001,1,2014-08-03 21:35:15.000000
5,18082286,4768,30.575315999999997,104.057703,1,2014-08-03 21:35:45.000000
6,18082287,4768,30.575436,104.059382,1,2014-08-03 21:40:25.000000
7,18082288,4768,30.575468,104.05971,1,2014-08-03 21:40:32.000000
8,18082289,4768,30.575509999999998,104.059813,1,2014-08-03 21:40:55.000000
9,18082290,4768,30.575809999999997,104.05994399999999,1,2014-08-03 21:41:00.000000
10,18082291,4768,30.576143,104.05999200000001,1,2014-08-03 21:41:04.000000
11,18082292,4768,30.576435999999998,104.060012,1,2014-08-03 21:41:07.000000
12,18082293,4768,30.576743,104.060057,1,2014-08-03 21:41:10.000000
13,18082294,4768,30.576965,104.060064,1,2014-08-03 21:41:12.000000
14,18082295,4768,30.577076,104.060062,1,2014-08-03 21:41:13.000000
15,18082296,4768,30.577419,104.060067,1,2014-08-03 21:41:16.000000
16,18082297,4768,30.577759999999998,104.06008299999999,1,2014-08-03 21:41:19.000000
17,18082298,4768,30.578077,104.060125,1,2014-08-03 21:41:22.000000
18,18082299,4768,30.579148999999997,104.046255,1,2014-08-03 21:32:05.000000
19,18082300,4768,30.579690000000003,104.037974,1,2014-08-03 21:59:41.000000
20,18082301,4768,30.579746000000004,104.038101,0,2014-08-03 22:00:28.000000
21,18082302,4768,30.579784000000004,104.03778299999999,1,2014-08-03 21:59:36.000000
22,18082303,4768,30.57988,104.037432,1,2014-08-03 21:59:32.000000
23,18082304,4768,30.57988,104.03778299999999,0,2014-08-03 22:00:36.000000
24,18082305,4768,30.579929999999997,104.06025799999999,1,2014-08-03 21:41:39.000000
25,18082306,4768,30.579965,104.037465,0,2014-08-03 22:00:43.000000
26,18082307,4768,30.58,104.037052,1,2014-08-03 21:59:28.000000
27,18082308,4768,30.580047999999998,104.046277,1,2014-08-03 21:31:59.000000
28,18082309,4768,30.580078000000004,104.037102,0,2014-08-03 22:00:48.000000
29,18082310,4768,30.580118,104.03676999999999,1,2014-08-03 21:59:25.000000
